"speciesName";"nederNaam";"group";"family";"genus"
"Capperia britanniodactylus";"salievedermot";"micro";"Pterophoridae";"Capperia"
"Pammene gallicolana";"galdwergbladroller";"micro";"Tortricidae";"Pammene"
"Paraswammerdamia albicapitella";"witkraagduifmot";"micro";"Yponomeutidae";"Paraswammerdamia"
"Cochylimorpha straminea";"moerasbladroller";"micro";"Tortricidae";"Cochylimorpha"
"Caryocolum marmorea";"oranje kustmot";"micro";"Gelechiidae";"Caryocolum"
"Labdia semicoccinea";"";"micro";"Cosmopterigidae";"Labdia"
"Mompha ochraceella";"gele wilgenroosjesmot";"micro";"Momphidae";"Mompha"
"Dysauxes ancilla";"dienares";"macro";"Erebidae";"Dysauxes"
"Amata phegea";"phegeavlinder";"macro";"Erebidae";"Amata"
"Tyria jacobaeae";"sint-jacobsvlinder";"macro";"Erebidae";"Tyria"
"Euplagia quadripunctaria";"spaanse vlag";"macro";"Erebidae";"Euplagia"
"Callimorpha dominula";"bonte beer";"macro";"Erebidae";"Callimorpha"
"Arctia festiva";"engelse beer";"macro";"Erebidae";"Arctia"
"Arctia villica";"roomvlek";"macro";"Erebidae";"Arctia"
"Arctia caja";"grote beer";"macro";"Erebidae";"Arctia"
"Diacrisia sannio";"roodbandbeer";"macro";"Erebidae";"Diacrisia"
"Rhyparia purpurata";"purperbeer";"macro";"Erebidae";"Rhyparia"
"Diaphora mendica";"mendicabeer";"macro";"Erebidae";"Diaphora"
"Spilosoma urticae";"sneeuwbeer";"macro";"Erebidae";"Spilosoma"
"Spilosoma lubricipeda";"witte tijger";"macro";"Erebidae";"Spilosoma"
"Spilosoma lutea";"gele tijger";"macro";"Erebidae";"Spilosoma"
"Parasemia plantaginis";"weegbreebeer";"macro";"Erebidae";"Parasemia"
"Phragmatobia fuliginosa";"kleine beer";"macro";"Erebidae";"Phragmatobia"
"Utetheisa pulchella";"prachtbeer";"macro";"Erebidae";"Utetheisa"
"Coscinia cribraria";"grasbeertje";"macro";"Erebidae";"Coscinia"
"Coscinia striata";"geel grasbeertje";"macro";"Erebidae";"Coscinia"
"Setina irrorella";"tijgerbeertje";"macro";"Erebidae";"Setina"
"Eilema sororcula";"geel beertje";"macro";"Erebidae";"Eilema"
"Eilema lutarella";"felgeel beertje";"macro";"Erebidae";"Eilema"
"Eilema pygmaeola";"klein kokerbeertje";"macro";"Erebidae";"Eilema"
"Eilema complana";"streepkokerbeertje";"macro";"Erebidae";"Eilema"
"Eilema lurideola";"plat beertje";"macro";"Erebidae";"Eilema"
"Eilema griseola";"glad beertje";"macro";"Erebidae";"Eilema"
"Eilema depressa";"naaldboombeertje";"macro";"Erebidae";"Eilema"
"Lithosia quadra";"viervlakvlinder";"macro";"Erebidae";"Lithosia"
"Atolmis rubricollis";"zwart beertje";"macro";"Erebidae";"Atolmis"
"Pelosia obtusa";"klein muisbeertje";"macro";"Erebidae";"Pelosia"
"Pelosia muscerda";"muisbeertje";"macro";"Erebidae";"Pelosia"
"Cybosia mesomella";"vierstipbeertje";"macro";"Erebidae";"Cybosia"
"Miltochrista miniata";"rozenblaadje";"macro";"Erebidae";"Miltochrista"
"Thumatha senex";"rondvleugelbeertje";"macro";"Erebidae";"Thumatha"
"Nudaria mundana";"bleek beertje";"macro";"Erebidae";"Nudaria"
"Earias vernana";"populierengroenuil";"macro";"Nolidae";"Earias"
"Earias clorana";"kleine groenuil";"macro";"Nolidae";"Earias"
"Pseudoips prasinana";"zilveren groenuil";"macro";"Nolidae";"Pseudoips"
"Bena bicolorana";"grote groenuil";"macro";"Nolidae";"Bena"
"Nycteola degenerana";"fraaie wilgenuil";"macro";"Nolidae";"Nycteola"
"Nycteola revayana";"variabele eikenuil";"macro";"Nolidae";"Nycteola"
"Nola aerugula";"licht visstaartje";"macro";"Nolidae";"Nola"
"Nola confusalis";"vroeg visstaartje";"macro";"Nolidae";"Nola"
"Nola cucullatella";"klein visstaartje";"macro";"Nolidae";"Nola"
"Meganola albula";"groot visstaartje";"macro";"Nolidae";"Meganola"
"Meganola strigula";"donker visstaartje";"macro";"Nolidae";"Meganola"
